,epoch,energy_mean,energy_std,groundstate,envelope_width,autocorrelation_mean,autocorrelation_std,autocorrelation_min,autocorrelation_max,inefficency_mean,inefficency_std,inefficency_min,inefficency_max,ram_sample,ram_local,ram_advmc,ram_optim,ram_epoch,ram_total,walltime
0,0,1617.3035888671875,699.7173461914062,1257.9558692202704,0.09989999979734421,1.0525838136672974,0.25150883197784424,0.20475275814533234,2.161923885345459,1868198838272.0,14204226502656.0,714551424.0,140944485646336.0,0.8703460693359375,0.109893798828125,1.8990058898925781,0.00357818603515625,2.882823944091797,3.0261878967285156,205.8113431930542
1,1,1485.9781494140625,427.33905029296875,1257.9558692202704,0.09981630742549896,1.0339754819869995,0.20625032484531403,0.670469343662262,2.1285269260406494,35208810496.0,214986145792.0,372432256.0,2096773070848.0,0.4719810485839844,-0.00728607177734375,1.4156990051269531,0.0,1.8803939819335938,4.907131195068359,216.02631425857544
2,2,1482.491943359375,424.0918884277344,1257.9558692202704,0.09975932538509369,1.0491710901260376,0.25762128829956055,0.37638288736343384,2.0235867500305176,41451298816.0,232354086912.0,314595008.0,1959592198144.0,0.4722480773925781,-0.000370025634765625,0.0,0.0,0.4718780517578125,5.379009246826172,215.23641991615295
3,3,1475.6558837890625,412.6972961425781,1257.9558692202704,0.0997069850564003,1.1028118133544922,0.4029317796230316,0.4208757281303406,3.7872581481933594,48192405504.0,311028154368.0,343888256.0,3069176184832.0,0.4265327453613281,0.0,0.0,0.0,0.4265327453613281,5.8055419921875,213.10439252853394
4,4,1477.171142578125,402.3025817871094,1257.9558692202704,0.0996755063533783,1.0598540306091309,0.23543313145637512,0.4838438630104065,1.7693581581115723,90547462144.0,735749275648.0,248009744.0,7348939128832.0,0.4746513366699219,0.0,0.0,0.0,0.4746513366699219,6.280193328857422,219.48504281044006
5,5,1436.1610107421875,368.84423828125,1257.9558692202704,0.09966245293617249,1.039035439491272,0.2240062952041626,0.5756588578224182,1.835697889328003,14982278144.0,60076822528.0,214442256.0,549782028288.0,0.47412872314453125,0.0,0.0,0.0,0.47412872314453125,6.754322052001953,207.15767168998718
6,6,1385.2047119140625,381.03656005859375,1257.9558692202704,0.09966059029102325,1.085052490234375,0.2815902829170227,0.12367605417966843,2.2088100910186768,29707907072.0,158986108928.0,277732224.0,1329841831936.0,0.4750518798828125,0.0,0.20743560791015625,-0.2076416015625,0.47484588623046875,7.229167938232422,202.82743096351624
7,7,1476.1514892578125,381.6697692871094,1257.9558692202704,0.09965070337057114,1.094895362854004,0.2856462299823761,0.7041803002357483,2.371413469314575,147756351488.0,1191197671424.0,244799808.0,11753450635264.0,0.5197792053222656,0.0,0.5115737915039062,-0.4977378845214844,0.5336151123046875,7.762783050537109,201.66095566749573
8,8,1429.0108642578125,307.63604736328125,1257.9558692202704,0.099644236266613,1.0735328197479248,0.21782515943050385,0.4560318887233734,1.8804360628128052,3725871284224.0,37171104841728.0,127412272.0,371719722237952.0,0.43058013916015625,-0.000370025634765625,0.8799324035644531,0.0135955810546875,1.3237380981445312,9.08652114868164,206.17354273796082
9,9,1451.814453125,309.0886535644531,1257.9558692202704,0.0996360257267952,1.1017999649047852,0.25569218397140503,0.41629114747047424,2.0851521492004395,18369964032.0,77291503616.0,147279808.0,711791804416.0,0.5209007263183594,0.0,0.4639892578125,0.014759063720703125,0.9996490478515625,10.072006225585938,205.9993817806244
10,10,1465.023193359375,299.65655517578125,1257.9558692202704,0.09964069724082947,1.0583808422088623,0.24398308992385864,0.5383707284927368,2.226093053817749,116224737280.0,768856096768.0,62049256.0,7094295068672.0,0.47611236572265625,-0.000118255615234375,0.23540115356445312,0.0,0.711395263671875,10.76910400390625,205.86434173583984
11,11,1373.90380859375,327.2387390136719,1257.9558692202704,0.0996536910533905,1.0572395324707031,0.29955434799194336,0.3638588488101959,2.3131682872772217,8517215744.0,26050009088.0,224592144.0,233378742272.0,0.47492218017578125,-0.000370025634765625,0.3003578186035156,0.00377655029296875,0.7786865234375,11.54779052734375,211.08718752861023
